t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,1,0.756046,0.000000,0.000000,0.000000,events/second
1556560428,1,0.233999,0.000000,0.000000,0.000000,events/second
1556560431,1,0.137561,0.000000,0.000000,0.000000,events/second
1556560434,1,0.097391,0.000000,0.000000,0.000000,events/second
1556560437,1,0.075380,0.000000,0.000000,0.000000,events/second
1556560440,3,0.184320,0.000000,0.000000,0.000000,events/second
1556560443,3,0.155691,0.000000,0.000000,0.000000,events/second
1556560446,3,0.134692,0.000000,0.000000,0.000000,events/second
1556560449,3,0.118735,0.000000,0.000000,0.000000,events/second
1556560452,3,0.106131,0.000000,0.000000,0.000000,events/second
1556560455,3,0.095907,0.000000,0.000000,0.000000,events/second
1556560458,3,0.087527,0.000000,0.000000,0.000000,events/second
1556560461,3,0.080508,0.000000,0.000000,0.000000,events/second
1556560464,3,0.074493,0.000000,0.000000,0.000000,events/second
1556560467,3,0.069342,0.000000,0.000000,0.000000,events/second
1556560470,3,0.064845,0.000000,0.000000,0.000000,events/second
1556560473,3,0.060893,0.000000,0.000000,0.000000,events/second
1556560476,3,0.057399,0.000000,0.000000,0.000000,events/second
1556560479,3,0.054283,0.000000,0.000000,0.000000,events/second
1556560482,3,0.051487,0.000000,0.000000,0.000000,events/second
1556560485,3,0.048958,0.000000,0.000000,0.000000,events/second
1556560488,3,0.046672,0.000000,0.000000,0.000000,events/second
1556560491,3,0.044591,0.000000,0.000000,0.000000,events/second
1556560494,3,0.042694,0.000000,0.000000,0.000000,events/second
1556560497,3,0.040946,0.000000,0.000000,0.000000,events/second
1556560500,3,0.039333,0.000000,0.000000,0.000000,events/second
1556560503,3,0.037847,0.000000,0.000000,0.000000,events/second
1556560506,3,0.036466,0.000000,0.000000,0.000000,events/second
1556560509,3,0.035178,0.000000,0.000000,0.000000,events/second
1556560512,3,0.033988,0.000000,0.000000,0.000000,events/second
1556560515,3,0.032871,0.000000,0.000000,0.000000,events/second
1556560518,3,0.031824,0.000000,0.000000,0.000000,events/second
1556560521,3,0.030841,0.000000,0.000000,0.000000,events/second
1556560524,3,0.029921,0.000000,0.000000,0.000000,events/second
1556560527,3,0.029051,0.000000,0.000000,0.000000,events/second
1556560530,3,0.028231,0.000000,0.000000,0.000000,events/second
1556560533,3,0.027456,0.000000,0.000000,0.000000,events/second
1556560536,3,0.026719,0.000000,0.000000,0.000000,events/second
1556560539,3,0.026026,0.000000,0.000000,0.000000,events/second
1556560542,3,0.025367,0.000000,0.000000,0.000000,events/second
1556560545,3,0.024739,0.000000,0.000000,0.000000,events/second
1556560548,3,0.024142,0.000000,0.000000,0.000000,events/second
1556560551,3,0.023572,0.000000,0.000000,0.000000,events/second
1556560554,3,0.023029,0.000000,0.000000,0.000000,events/second
1556560557,3,0.022512,0.000000,0.000000,0.000000,events/second
1556560560,3,0.022016,0.000000,0.000000,0.000000,events/second
1556560563,3,0.021540,0.000000,0.000000,0.000000,events/second
1556560566,3,0.021086,0.000000,0.000000,0.000000,events/second
1556560569,3,0.020652,0.000000,0.000000,0.000000,events/second
1556560572,3,0.020234,0.000000,0.000000,0.000000,events/second
1556560575,3,0.019833,0.000000,0.000000,0.000000,events/second
