t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556558039,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558042,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558045,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558048,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558051,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558054,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558057,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558060,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558063,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558066,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558069,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558072,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558075,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558078,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558081,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558084,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558087,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558090,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558093,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558096,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558099,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558102,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558105,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558108,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558111,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558114,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558117,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558120,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558123,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558126,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558129,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558132,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558135,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558138,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558141,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558144,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558147,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558150,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558153,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558156,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558159,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558162,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558165,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558168,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558171,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558174,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558177,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558180,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558183,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558186,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558189,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558192,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558195,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558198,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558201,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558204,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558207,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558210,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558213,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558216,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558219,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558222,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558225,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558228,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558231,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558234,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558237,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558240,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558243,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558246,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558249,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558252,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558255,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558258,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558261,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558264,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558267,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558270,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558273,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558276,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558279,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558282,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558285,0,0.000000,0.000000,0.000000,0.000000,events/second
