t,value
1556560251,1
1556560254,1
1556560257,1
1556560260,1
1556560263,1
1556560266,1
1556560269,1
1556560272,1
1556560275,1
1556560278,1
1556560281,1
1556560284,1
1556560287,1
1556560290,1
1556560293,1
1556560296,1
1556560299,1
1556560302,1
1556560305,1
1556560308,1
1556560311,1
1556560314,1
1556560317,1
1556560320,1
1556560323,1
1556560326,1
1556560329,1
1556560332,1
1556560335,1
1556560338,1
1556560341,1
1556560344,1
1556560347,1
1556560350,1
1556560353,1
1556560356,1
1556560359,1
1556560362,1
1556560365,1
1556560368,1
1556560371,1
1556560374,1
1556560377,1
1556560380,1
1556560383,1
1556560386,1
1556560389,1
1556560392,1
1556560395,1
1556560398,1
1556560401,1
1556560404,1
1556560407,1
1556560410,1
1556560413,1
1556560416,1
1556560419,1
1556560422,1
1556560425,1
1556560428,1
1556560431,1
1556560434,1
1556560437,1
1556560440,1
1556560443,1
1556560446,1
1556560449,1
1556560452,1
1556560455,1
1556560458,1
1556560461,1
1556560464,1
1556560467,1
1556560470,1
1556560473,1
1556560476,1
1556560479,1
1556560482,1
1556560485,1
1556560488,1
1556560491,1
1556560494,1
1556560497,1
1556560500,1
1556560503,1
1556560506,1
1556560509,1
1556560512,1
1556560515,1
1556560518,1
1556560521,1
1556560524,1
1556560527,1
1556560530,1
1556560533,1
1556560536,1
1556560539,1
1556560542,1
1556560545,1
1556560548,1
1556560551,1
1556560554,1
1556560557,1
1556560560,1
1556560563,1
1556560566,1
1556560569,1
1556560572,1
1556560575,1
1556560578,1
1556560581,1
1556560584,1
1556560587,1
1556560590,1
1556560593,1
1556560596,1
1556560599,1
1556560602,1
1556560605,1
1556560608,1
1556560611,1
1556560614,1
1556560617,1
1556560620,1
1556560623,1
1556560626,1
1556560629,1
1556560632,1
1556560635,1
1556560638,1
1556560641,1
1556560644,1
1556560647,1
1556560650,1
1556560653,1
1556560656,1
1556560659,1
1556560662,1
1556560665,1
1556560668,1
1556560671,1
1556560674,1
1556560677,1
1556560680,1
1556560683,1
1556560686,1
1556560689,1
1556560692,1
1556560695,1
1556560698,1
1556560701,1
1556560704,1
1556560707,1
1556560710,1
1556560713,1
1556560716,1
1556560719,1
1556560722,1
1556560725,1
1556560728,1
1556560731,1
1556560734,1
1556560737,1
1556560740,1
1556560743,1
1556560746,1
1556560749,1
1556560752,1
1556560755,1
1556560758,1
1556560761,1
1556560764,1
1556560767,1
1556560770,1
1556560773,1
1556560776,1
1556560779,1
1556560782,1
1556560785,1
1556560788,1
1556560791,1
1556560794,1
1556560797,1
1556560800,1
1556560803,1
1556560806,1
1556560809,1
1556560812,1
1556560815,1
1556560818,1
1556560821,1
1556560824,1
1556560827,1
1556560830,1
1556560833,1
1556560836,1
1556560839,1
1556560842,1
1556560845,1
1556560848,1
1556560851,1
1556560854,1
1556560857,1
1556560860,1
1556560863,1
1556560866,1
1556560869,1
1556560872,1
1556560875,1
1556560878,1
1556560881,1
1556560884,1
1556560887,1
1556560890,1
1556560893,1
1556560896,1
1556560899,1
1556560902,1
1556560905,1
1556560908,1
1556560911,1
1556560914,1
1556560917,1
1556560920,1
1556560923,1
1556560926,1
1556560929,1
1556560932,1
1556560935,1
1556560938,1
1556560941,1
1556560944,1
1556560947,1
